question,document,score,reasoning
I just found this course — is it still okay to join now?,74eb249bbf,good,"The AI answer conveys the same meaning as the ground truth: joining is still allowed, but certificate eligibility depends on submitting the project while submissions are still being accepted/open. No key information is missing or incorrect."
"Can I join the course late, or is it too late already?",74eb249bbf,good,"The AI answer matches the ground truth: late joining is allowed, and certificate eligibility requires submitting the project while submissions are still open. It preserves the key condition accurately."
"If I start the course now, will I still be able to get a certificate?",74eb249bbf,good,"The AI answer preserves the core condition: a certificate is available only if the project is submitted while submissions are still open. It adds that the course must be finished with the live cohort and that self-paced mode cannot get a certificate, which is extra detail but not contradictory to the ground truth. Semantically equivalent enough."
Is it possible to enroll after the course has already started?,74eb249bbf,bad,"The ground truth says late enrollment is possible, with the condition that to receive a certificate you must submit the project before submissions close. The AI answer says 'I don't know,' which fails to answer the question and misses the key information."
What do I need to do to qualify for the certificate if I join now?,74eb249bbf,bad,"The ground truth only says that if you join now, you can still qualify for the certificate as long as you submit your project while submissions are still being accepted. The AI answer adds extra requirements (passing the capstone and peer-reviewing 3 peers) that are not present in the original answer. Since it changes the necessary condition and introduces unsupported details, it is not semantically equivalent."
I registered for the LLM Zoomcamp but haven’t gotten any confirmation email yet — is that normal?,977bf7786c,good,"The AI answer matches the ground truth: it states that no confirmation email is needed, registration implies acceptance, homework can be submitted while the form is open without being checked against a list, and registration is only for gauging interest. Semantically equivalent."
Do I actually need an acceptance or confirmation message before I can start the course and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it says an acceptance/confirmation email is not needed, the student is accepted, and they can start learning and submit homework while the form is open. It omits the extra note that registration is only to gauge interest and that no registered list is checked, but that does not change the core meaning."
"If I sign up for the LLM Zoomcamp, does that mean I’m on some official registered list for homework checks?",977bf7786c,good,"The AI answer matches the ground truth: it says registration is not required, there is no official list for homework checks, and the form is only to gauge interest. It also correctly notes that homework can be submitted while the form is open without registering."
Can I begin learning and turning in assignments even if I never filled out the registration form?,977bf7786c,good,"The AI answer preserves the key points of the ground truth: registration is not required, students can start learning and submit homework while the form is open, and the form is only for gauging interest and not checked against a registered list. This is semantically equivalent."
What is the registration form for if it doesn’t seem to affect access to the course?,977bf7786c,good,"The AI answer preserves the core points of the ground truth: registration is unnecessary for access, it is not checked against a registered list, and its purpose is only to gauge interest before the start date. This is semantically equivalent."
How do students join the Office Hours live stream if the Zoom link isn’t shared with us?,489dd1c9d9,good,"The AI answer matches the ground truth: it states students use YouTube Live, the Zoom link is only for instructors/presenters/TAs, questions go through Slido, the video URL is posted in Telegram/Slack announcements, and not to post questions in chat. No key information is missing or incorrect."
Where can I find the live video URL for workshop or Office Hours sessions before they start?,489dd1c9d9,good,"The AI answer correctly states where the live video URL is posted before the session starts (announcements channel on Telegram and Slack) and mentions the DataTalksClub YouTube channel. It omits some extra details about Zoom access and Slido, but those are not required for the question asked."
"If I’m watching the course live, should I ask questions in the chat or use something else?",489dd1c9d9,good,"The AI answer correctly says students should use Slido rather than chat, and mentions the pinned Slido link, YouTube Live, and that Zoom is only for instructors/presenters/TAs. This matches the key point of the ground truth. It omits some extra details like announcements channels and the warning that chat messages may be missed, but those are not necessary for correctness."
"Do regular students get access to the Zoom link for live sessions, or is it only for presenters and TAs?",489dd1c9d9,good,"The AI answer matches the ground truth on the key point: regular students do not receive the Zoom link, and it is only for instructors/presenters/TAs. It also correctly states that students should use YouTube Live and Slido. It omits some extra details (Telegram/Slack announcement and chat warning), but those are not required for semantic equivalence."
What’s the best way to follow along and submit questions during a live Office Hours session?,489dd1c9d9,good,"The AI answer captures the key guidance: students should watch via YouTube Live, submit questions through Slido, and avoid posting questions in chat because they may be missed. It omits some extra details from the ground truth (Zoom link access and announcement channels), but those are not essential to the asked question about how to follow along and submit questions."
Where do I begin if I want to follow LLM Zoomcamp properly from week to week?,04919992b3,good,"The AI answer conveys the same core guidance: start with the docs/logistics/GitHub repo, follow the weekly workflow of videos -> notebooks/code -> homework instructions -> submission, and notes that you can begin anytime with deadlines on the course platform. It omits the specific note that homework is similar to the lesson flow but uses a different dataset or slightly different task, but that is a minor detail rather than a key point. Overall semantically equivalent."
"Is there a recommended order for watching the lessons, doing the notebooks, and submitting homework?",04919992b3,bad,"The AI answer fails to provide the recommended workflow and missing the core guidance: that you can start anytime, and the typical order is videos, notebooks/code, homework instructions, then submission before the deadline. Saying 'I don't know' is not semantically equivalent."
"Can I join the course whenever I want, or do I need to start on a fixed date?",04919992b3,good,"The AI answer correctly states that you can start whenever you want and that there is no fixed start date. It also mentions that course materials and videos are available. It omits the more detailed workflow and deadlines, but those are not required for the core answer to this question."
"What should I check first: the docs, the GitHub repo, or the course platform deadlines?",04919992b3,bad,"The AI answer captures part of the workflow by mentioning GitHub and the course platform deadlines, but it misses the key point that the first recommended resources are the LLM Zoomcamp docs and general logistics docs as well, and it also omits that you can start whenever you want and the videos/materials are available. The ground truth explicitly says to start with the docs, logistics docs, and GitHub repository, not GitHub first alone. So the answer is not semantically equivalent."
