question,answer_llm,answer_orig,document
I just found this course — is it still okay to join now?,"Yes — you can still join. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I join the course late, or is it too late already?","Yes, you can still join the course late. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course now, will I still be able to get a certificate?","Yes, but only if you finish the course with the live cohort and submit your project while submissions are still open. You can’t get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it possible to enroll after the course has already started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I join now?,"To qualify for the certificate, you need to:

- **Submit your capstone project while submissions are still open**
- **Pass the capstone project**
- **Participate in peer-review of 3 peers in your cohort**

If you join now, that’s still okay — but you must complete the capstone and peer reviews before the course submission/review windows close.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp but haven’t gotten any confirmation email yet — is that normal?,"Yes, that’s normal. You don’t need a confirmation email — if you registered, you’re accepted. You can also just start learning and submit homework while the form is open, since registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance or confirmation message before I can start the course and submit homework?,"No. You don’t need an acceptance or confirmation email to start the course or submit homework. You’re accepted, and you can begin learning and submitting homework as long as the submission form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I sign up for the LLM Zoomcamp, does that mean I’m on some official registered list for homework checks?","No. Registration is just to gauge interest before the start date, and it is not checked against any registered list for homework submissions. You can start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin learning and turning in assignments even if I never filled out the registration form?,Yes. You can start learning and submit homework even if you never filled out the registration form. Registration is only to gauge interest and is not checked against a registered list.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the registration form for if it doesn’t seem to affect access to the course?,"The registration form is only used to gauge interest before the start date. It isn’t checked against a list of registered users, and you can still start learning and submit homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours live stream if the Zoom link isn’t shared with us?,"Students join the Office Hours live stream via **YouTube Live**. The **Zoom link is only for instructors/presenters/TAs** and is not shared with students.

To participate:
- Watch the stream on the **DataTalksClub YouTube Channel**
- Ask questions through **Slido**  
- The **video URL** is posted in the **announcements channel on Telegram and Slack** before the session starts

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live video URL for workshop or Office Hours sessions before they start?,The live video URL should be posted in the **announcements channel on Telegram and Slack before it begins**. You can also watch it live on the **DataTalksClub YouTube Channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I’m watching the course live, should I ask questions in the chat or use something else?","Use **Slido**, not the chat. The Slido link is pinned in the chat when the session is live. You can watch on YouTube Live, and the Zoom link is only for instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Do regular students get access to the Zoom link for live sessions, or is it only for presenters and TAs?","Regular students do **not** get the Zoom link directly. The Zoom link is published only to **instructors/presenters/TAs**.

Students should join via **YouTube Live** and ask questions through **Slido**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow along and submit questions during a live Office Hours session?,"Students participate via **YouTube Live** and submit questions to **Slido** — the Slido link is pinned in the chat when the session is live. Don’t post questions in chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I begin if I want to follow LLM Zoomcamp properly from week to week?,"Start with the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

You can begin anytime, and the current syllabus, deadlines, homework, and progress tracking are on the **course management platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is there a recommended order for watching the lessons, doing the notebooks, and submitting homework?",I don't know.,"Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course whenever I want, or do I need to start on a fixed date?","You can join and start whenever you want. The course materials and videos are available, and you don’t need to start on a fixed date.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What should I check first: the docs, the GitHub repo, or the course platform deadlines?","Check the **GitHub repo first**. It’s the main entry point and is usually kept more up to date than the course platform. Then use the **course platform** for **deadlines, submission, and progress tracking**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Does the homework follow the same pattern as the lesson materials, or is it based on different tasks or data?","Homework is similar to the lesson flow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Why can’t I find my name on the leaderboard, and how do I jump to my own entry?","You’re probably not seeing your name because your account was given a random display name, like “Lucid Elbakyan,” when you signed up.

To find your own entry on the leaderboard, click **“Jump to your record on the leaderboard”**.

If you want to see or change the name shown publicly, click **“Edit Course Profile”**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I check what display name the course is showing for me?,"Click **“Edit Course Profile”**.

The **first field** is your **public nickname/display name** shown on the leaderboard. If you want, you can change it there.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Is the name on the leaderboard random, or did I choose it somewhere?","The leaderboard name is random by default. When you set up your account, you’re automatically assigned a random display name like “Lucid Elbakyan.”

You can change it in **Edit Course Profile** if you want to choose a different public nickname.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears publicly instead of using the default one?,"Yes. You can change the public nickname in **Edit Course Profile**.

- **First field:** your public nickname/display name for the leaderboard
- **Second field:** your official name for the certificate

So you don’t have to use the default random nickname publicly.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields if I want my certificate to show my real name instead of the default one?,"Put your **real/legal name in the second field** in **Edit Course Profile**.  
The **first field** is for your public nickname/display name on the leaderboard, while the **second field** is the name printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course at my own pace and still earn the certificate?,"No. You can follow the course in self-paced mode, but you won’t get a certificate that way. To earn a certificate, you need to finish the course with a live cohort and complete the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to get a certificate if I don’t join a live cohort?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not award certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t the certificate available for self-paced students?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstone projects after submitting your own project. That peer-review process only happens while the live course is running; once the course ends, the peer-review list is closed, so self-paced students can’t complete the certificate requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to do peer reviews to qualify for the course certificate?,"Yes. To qualify for the certificate, you need to do peer reviews for 3 capstone projects, in addition to submitting your own project.

Certificates are not awarded for the self-paced mode, and peer-review is only possible while the live course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I submit the project later and still review the capstones for a certificate?,"Yes — but only if you submit your project while the course is still running and the submission form is open. You also need to peer-review 3 capstones in your cohort to qualify for the certificate.

If the form is already closed, then no — you can’t submit later or complete the required peer reviews for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,"Yes. Missing the first homework won’t affect your certificate — you only need to pass the Capstone project to get it. Homework is optional, though it can help with learning and leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework to receive the course certificate?,"No. You need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to get the certificate?,"You need to pass the **Capstone project** to get the certificate.

Homework is **not mandatory**. Also, you can only get a certificate if you finish the course with a **live cohort**, not in self-paced mode.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for the certificate, or is it just optional?","Homework is not required for the certificate. You just need to pass the Capstone project to get the certificate. Homework is optional, though recommended, and the points count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, does it still count for anything in the course?","Yes. Even though homework is not mandatory, the points you earn from it still count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is considered ready only when both are true:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content can still change. Working on it in advance is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] tag mean in a homework title?,"If a homework title contains `[DRAFT]`, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if an assignment is actually ready to do?,I don't know.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework before the form opens?,"Yes — but only at your own risk.

The homework is considered ready only when both are true:
- the homework submission form is open, and
- the homework title does **not** contain `[DRAFT]`.

Until then, the content can still change, so starting early may mean the final homework is different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
